Ostrich,Struthio camelus,TC000001
White-winged Duck,Cairina scutulata,TC000179
Green Pygmy-Goose,Nettapus pulchellus,TC000180
Cotton Pygmy-Goose,Nettapus coromandelianus,TC000181
African Pygmy-Goose,Nettapus auritus,TC000182
Ringed Teal,Callonetta leucophrys,TC000183
Wood Duck,Aix sponsa,TC000184
Mandarin Duck,Aix galericulata,TC000187
Maned Duck,Chenonetta jubata,TC000188
Brazilian Teal,Amazonetta brasiliensis,TC000189
Blue Duck,Hymenolaimus malacorhynchos,TC000190
Torrent Duck,Merganetta armata,TC000191
Salvadori's Teal,Salvadorina waigiuensis,TC000192
African Black Duck,Anas sparsa,TC000193
Gadwall,Anas strepera,TC000194
Falcated Duck,Anas falcata,TC000200
Eurasian Wigeon,Anas penelope,TC000201
American Wigeon,Anas americana,TC000203
Chiloe Wigeon,Anas sibilatrix,TC000206
American Black Duck,Anas rubripes,TC000207
Yellow-billed Duck,Anas undulata,TC000209
Meller's Duck,Anas melleri,TC000210
Mallard,Anas platyrhynchos,TC000211
Mottled Duck,Anas fulvigula,TC000222
Hawaiian Duck,Anas wyvilliana,TC000227
Laysan Duck,Anas laysanensis,TC000228
Indian Spot-billed Duck,Anas poecilorhyncha,TC000229
Eastern Spot-billed Duck,Anas zonorhyncha,TC000230
Pacific Black Duck,Anas superciliosa,TC000231
Philippine Duck,Anas luzonica,TC000232
Blue-winged Teal,Anas discors,TC000233
Cinnamon Teal,Anas cyanoptera,TC000236
Red Shoveler,Anas platalea,TC000239
Cape Shoveler,Anas smithii,TC000240
Australian Shoveler,Anas rhynchotis,TC000241
Northern Shoveler,Anas clypeata,TC000242
White-cheeked Pintail,Anas bahamensis,TC000243
Red-billed Duck,Anas erythrorhyncha,TC000246
Northern Pintail,Anas acuta,TC000247
Eaton's Pintail,Anas eatoni,TC000248
Yellow-billed Pintail,Anas georgica,TC000249
Silver Teal,Anas versicolor,TC000252
Puna Teal,Anas puna,TC000253
Hottentot Teal,Anas hottentota,TC000254
Garganey,Anas querquedula,TC000255
Baikal Teal,Anas formosa,TC000256
Green-winged Teal,Anas crecca,TC000257
Andean Teal,Anas andium,TC000261
Yellow-billed Teal,Anas flavirostris,TC000262
Cape Teal,Anas capensis,TC000266
Bernier's Teal,Anas bernieri,TC000267
Sunda Teal,Anas gibberifrons,TC000268
Andaman Teal,Anas albogularis,TC000269
Gray Teal,Anas gracilis,TC000270
Chestnut Teal,Anas castanea,TC000271
Auckland Islands Teal,Anas aucklandica,TC000272
Campbell Islands Teal,Anas nesiotis,TC000273
Brown Teal,Anas chlorotis,TC000274
Pink-eared Duck,Malacorhynchus membranaceus,TC000277
Marbled Teal,Marmaronetta angustirostris,TC000278
Pink-headed Duck,Rhodonessa caryophyllacea,TC000279
Red-crested Pochard,Netta rufina,TC000280
Southern Pochard,Netta erythrophthalma,TC000281
Rosy-billed Pochard,Netta peposaca,TC000282
Canvasback,Aythya valisineria,TC000283
Redhead,Aythya americana,TC000284
Common Pochard,Aythya ferina,TC000285
Ring-necked Duck,Aythya collaris,TC000286
Ferruginous Duck,Aythya nyroca,TC000289
Madagascar Pochard,Aythya innotata,TC000290
Baer's Pochard,Aythya baeri,TC000291
White-eyed Duck,Aythya australis,TC000292
Tufted Duck,Aythya fuligula,TC000293
New Zealand Scaup,Aythya novaeseelandiae,TC000294
Greater Scaup,Aythya marila,TC000295
Lesser Scaup,Aythya affinis,TC000296
Steller's Eider,Polysticta stelleri,TC000299
Spectacled Eider,Somateria fischeri,TC000300
King Eider,Somateria spectabilis,TC000301
Common Eider,Somateria mollissima,TC000302
Harlequin Duck,Histrionicus histrionicus,TC000311
Labrador Duck,Camptorhynchus labradorius,TC000312
Surf Scoter,Melanitta perspicillata,TC000313
White-winged Scoter,Melanitta fusca,TC000314
Common Scoter,Melanitta nigra,TC000319
Black Scoter,Melanitta americana,TC000320
Long-tailed Duck,Clangula hyemalis,TC000323
Bufflehead,Bucephala albeola,TC000324
Common Goldeneye,Bucephala clangula,TC000326
Barrow's Goldeneye,Bucephala islandica,TC000329
Smew,Mergellus albellus,TC000333
Hooded Merganser,Lophodytes cucullatus,TC000334
Auckland Islands Merganser,Mergus australis,TC000335
Common Merganser,Mergus merganser,TC000336
Brazilian Merganser,Mergus octosetaceus,TC000339
Red-breasted Merganser,Mergus serrator,TC000340
Scaly-sided Merganser,Mergus squamatus,TC000342
Black-headed Duck,Heteronetta atricapilla,TC000344
Masked Duck,Nomonyx dominicus,TC000345
Ruddy Duck,Oxyura jamaicensis,TC000346
White-headed Duck,Oxyura leucocephala,TC000349
Maccoa Duck,Oxyura maccoa,TC000350
Lake Duck,Oxyura vittata,TC000351
Blue-billed Duck,Oxyura australis,TC000353
Musk Duck,Biziura lobata,TC000354
Australian Brush-Turkey,Alectura lathami,TC000357
Wattled Brush-Turkey,Aepypodius arfakianus,TC000358
Bruijn's Brush-Turkey,Aepypodius bruijnii,TC000359
Red-billed Brush-Turkey,Talegalla cuvieri,TC000360
Black-billed Brush-Turkey,Talegalla fuscirostris,TC000361
Brown-collared Brush-Turkey,Talegalla jobiensis,TC000362
Malleefowl,Leipoa ocellata,TC000363
Maleo,Macrocephalon maleo,TC000364
Moluccan Scrubfowl,Megapodius wallacei,TC000365
Niuafoou Scrubfowl,Megapodius pritchardii,TC000366
Micronesian Scrubfowl,Megapodius laperouse,TC000367
Nicobar Scrubfowl,Megapodius nicobariensis,TC000368
Tabon Scrubfowl,Megapodius cumingii,TC000369
Sula Scrubfowl,Megapodius bernsteinii,TC000370
Tanimbar Scrubfowl,Megapodius tenimberensis,TC000371
Dusky Scrubfowl,Megapodius freycinet,TC000372
Forsten's Scrubfowl,Megapodius forstenii,TC000373
Melanesian Scrubfowl,Megapodius eremita,TC000374
Vanuatu Scrubfowl,Megapodius layardi,TC000375
New Guinea Scrubfowl,Megapodius affinis,TC000376
Orange-footed Scrubfowl,Megapodius reinwardt,TC000377
Plain Chachalaca,Ortalis vetula,TC000378
Gray-headed Chachalaca,Ortalis cinereiceps,TC000379
Chestnut-winged Chachalaca,Ortalis garrula,TC000380
Rufous-vented Chachalaca,Ortalis ruficauda,TC000381
Rufous-headed Chachalaca,Ortalis erythroptera,TC000384
Rufous-bellied Chachalaca,Ortalis wagleri,TC000385
West Mexican Chachalaca,Ortalis poliocephala,TC000386
Chaco Chachalaca,Ortalis canicollis,TC000387
White-bellied Chachalaca,Ortalis leucogastra,TC000388
Colombian Chachalaca,Ortalis columbiana,TC012380
Speckled Chachalaca,Ortalis guttata,TC012788
East Brazilian Chachalaca,Ortalis araucuan,TC012787
Scaled Chachalaca,Ortalis squamata,TC012789
Variable Chachalaca,Ortalis motmot,TC000390
Buff-browed Chachalaca,Ortalis superciliaris,TC000391
Band-tailed Guan,Penelope argyrotis,TC000392
Bearded Guan,Penelope barbata,TC000393
Baudo Guan,Penelope ortoni,TC000394
Andean Guan,Penelope montagnii,TC000395
Marail Guan,Penelope marail,TC000396
Rusty-margined Guan,Penelope superciliaris,TC000397
Red-faced Guan,Penelope dabbenei,TC000398
Spix's Guan,Penelope jacquacu,TC000399
Crested Guan,Penelope purpurascens,TC000400
Cauca Guan,Penelope perspicax,TC000401
White-winged Guan,Penelope albipennis,TC000402
Dusky-legged Guan,Penelope obscura,TC000403
White-crested Guan,Penelope pileata,TC000406
Chestnut-bellied Guan,Penelope ochrogaster,TC000407
White-browed Guan,Penelope jacucaca,TC000408
Trinidad Piping-Guan,Pipile pipile,TC000409
Blue-throated Piping-Guan,Pipile cumanensis,TC000410
Red-throated Piping-Guan,Pipile cujubi,TC000411
Black-fronted Piping-Guan,Pipile jacutinga,TC000412
Wattled Guan,Aburria aburri,TC000413
Black Guan,Chamaepetes unicolor,TC000414
Sickle-winged Guan,Chamaepetes goudotii,TC000415
Highland Guan,Penelopina nigra,TC000416
Horned Guan,Oreophasis derbianus,TC000417
Nocturnal Curassow,Nothocrax urumutum,TC000418
Crestless Curassow,Mitu tomentosum,TC000419
Salvin's Curassow,Mitu salvini,TC000420
Razor-billed Curassow,Mitu tuberosum,TC000421
Alagoas Curassow,Mitu mitu,TC000422
Helmeted Curassow,Pauxi pauxi,TC000423
Sira Curassow,Pauxi koepckeae,TC012560
Horned Curassow,Pauxi unicornis,TC012561
Great Curassow,Crax rubra,TC000425
Blue-billed Curassow,Crax alberti,TC000426
Yellow-knobbed Curassow,Crax daubentoni,TC000427
Black Curassow,Crax alector,TC000428
Wattled Curassow,Crax globulosa,TC000429
Bare-faced Curassow,Crax fasciolata,TC000430
Red-billed Curassow,Crax blumenbachii,TC000431
White-breasted Guineafowl,Agelastes meleagrides,TC000432
Black Guineafowl,Agelastes niger,TC000433
Helmeted Guineafowl,Numida meleagris,TC000434
Plumed Guineafowl,Guttera plumifera,TC000435
Crested Guineafowl,Guttera pucherani,TC000436
Vulturine Guineafowl,Acryllium vulturinum,TC000437
Stone Partridge,Ptilopachus petrosus,TC000585
Nahan's Francolin,Ptilopachus nahani,TC000515
Bearded Wood-Partridge,Dendrortyx barbatus,TC000438
Long-tailed Wood-Partridge,Dendrortyx macroura,TC000439
Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,TC000440
Mountain Quail,Oreortyx pictus,TC000441
Scaled Quail,Callipepla squamata,TC000442
Elegant Quail,Callipepla douglasii,TC000443
California Quail,Callipepla californica,TC000444
Gambel's Quail,Callipepla gambelii,TC000446
Banded Quail,Philortyx fasciatus,TC000447
Northern Bobwhite,Colinus virginianus,TC000448
Black-throated Bobwhite,Colinus nigrogularis,TC000453
Crested Bobwhite,Colinus cristatus,TC000454
Marbled Wood-Quail,Odontophorus gujanensis,TC000457
Spot-winged Wood-Quail,Odontophorus capueira,TC000458
Black-eared Wood-Quail,Odontophorus melanotis,TC000459
Black-fronted Wood-Quail,Odontophorus atrifrons,TC000460
Rufous-fronted Wood-Quail,Odontophorus erythrops,TC000461
Chestnut Wood-Quail,Odontophorus hyperythrus,TC000462
Dark-backed Wood-Quail,Odontophorus melanonotus,TC000463
Rufous-breasted Wood-Quail,Odontophorus speciosus,TC000464
Tacarcuna Wood-Quail,Odontophorus dialeucos,TC000465
Gorgeted Wood-Quail,Odontophorus strophium,TC000466
Venezuelan Wood-Quail,Odontophorus columbianus,TC000467
Black-breasted Wood-Quail,Odontophorus leucolaemus,TC000468
Stripe-faced Wood-Quail,Odontophorus balliviani,TC000469
Starred Wood-Quail,Odontophorus stellatus,TC000470
Spotted Wood-Quail,Odontophorus guttatus,TC000471
Singing Quail,Dactylortyx thoracicus,TC000473
Montezuma Quail,Cyrtonyx montezumae,TC000474
Ocellated Quail,Cyrtonyx ocellatus,TC000477
Tawny-faced Quail,Rhynchortyx cinctus,TC000478
Rock Partridge,Alectoris graeca,TC000480
Chukar,Alectoris chukar,TC000484
Philby's Partridge,Alectoris philbyi,TC000485
Przevalski's Partridge,Alectoris magna,TC000486
Red-legged Partridge,Alectoris rufa,TC000487
Arabian Partridge,Alectoris melanocephala,TC000488
Barbary Partridge,Alectoris barbara,TC000489
Snow Partridge,Lerwa lerwa,TC000490
Verreaux's Partridge,Tetraophasis obscurus,TC000491
Szechenyi's Partridge,Tetraophasis szechenyii,TC000492
Caucasian Snowcock,Tetraogallus caucasicus,TC000493
Caspian Snowcock,Tetraogallus caspius,TC000494
Altai Snowcock,Tetraogallus altaicus,TC000495
Tibetan Snowcock,Tetraogallus tibetanus,TC000496
Himalayan Snowcock,Tetraogallus himalayensis,TC000497
Gray Francolin,Francolinus pondicerianus,TC000498
Swamp Francolin,Francolinus gularis,TC000499
Coqui Francolin,Francolinus coqui,TC000500
White-throated Francolin,Francolinus albogularis,TC000501
Schlegel's Francolin,Francolinus schlegelii,TC000502
Forest Francolin,Francolinus lathami,TC000503
Crested Francolin,Francolinus sephaena,TC000504
Ring-necked Francolin,Francolinus streptophorus,TC000505
Finsch's Francolin,Francolinus finschi,TC000506
Red-winged Francolin,Francolinus levaillantii,TC000507
Gray-winged Francolin,Francolinus africanus,TC000508
Moorland Francolin,Francolinus psilolaemus,TC000509
Shelley's Francolin,Francolinus shelleyi,TC000510
Orange River Francolin,Francolinus levaillantoides,TC000511
Scaly Francolin,Francolinus squamatus,TC000512
Ahanta Francolin,Francolinus ahantensis,TC000513
Gray-striped Francolin,Francolinus griseostriatus,TC000514
Hartlaub's Francolin,Francolinus hartlaubi,TC000516
Double-spurred Francolin,Francolinus bicalcaratus,TC000517
Black Francolin,Francolinus francolinus,TC000518
Painted Francolin,Francolinus pictus,TC000519
Chinese Francolin,Francolinus pintadeanus,TC000520
Erckel's Francolin,Francolinus erckelii,TC000521
Djibouti Francolin,Francolinus ochropectus,TC000522
Clapperton's Francolin,Francolinus clappertoni,TC000523
Harwood's Francolin,Francolinus harwoodi,TC000524
Heuglin's Francolin,Francolinus icterorhynchus,TC000525
Red-billed Francolin,Francolinus adspersus,TC000526
Cape Francolin,Francolinus capensis,TC000527
Natal Francolin,Francolinus natalensis,TC000528
Hildebrandt's Francolin,Francolinus hildebrandti,TC000529
Yellow-necked Francolin,Francolinus leucoscepus,TC000530
Gray-breasted Francolin,Francolinus rufopictus,TC000531
Red-necked Francolin,Francolinus afer,TC000532
Swainson's Francolin,Francolinus swainsonii,TC000533
Jackson's Francolin,Francolinus jacksoni,TC000534
Handsome Francolin,Francolinus nobilis,TC000535
Cameroon Francolin,Francolinus camerunensis,TC000536
Swierstra's Francolin,Francolinus swierstrai,TC000537
Chestnut-naped Francolin,Francolinus castaneicollis,TC000538
See-see Partridge,Ammoperdix griseogularis,TC000539
Sand Partridge,Ammoperdix heyi,TC000540
Gray Partridge,Perdix perdix,TC000541
Daurian Partridge,Perdix dauurica,TC000542
Tibetan Partridge,Perdix hodgsoniae,TC000543
Long-billed Partridge,Rhizothera longirostris,TC000544
Madagascar Partridge,Margaroperdix madagascarensis,TC000545
Black Partridge,Melanoperdix niger,TC000546
Japanese Quail,Coturnix japonica,TC000547
Common Quail,Coturnix coturnix,TC000548
Harlequin Quail,Coturnix delegorguei,TC000549
Rain Quail,Coturnix coromandelica,TC000550
Stubble Quail,Coturnix pectoralis,TC000551
New Zealand Quail,Coturnix novaezelandiae,TC000552
Brown Quail,Coturnix ypsilophora,TC000553
Blue-breasted Quail,Coturnix chinensis,TC000554
Blue Quail,Coturnix adansonii,TC000555
Snow Mountain Quail,Anurophasis monorthonyx,TC000557
Jungle Bush-Quail,Perdicula asiatica,TC000558
Rock Bush-Quail,Perdicula argoondah,TC000559
Painted Bush-Quail,Perdicula erythrorhyncha,TC000560
Manipur Bush-Quail,Perdicula manipurensis,TC000561
Himalayan Quail,Ophrysia superciliosa,TC000562
Udzungwa Partridge,Xenoperdix udzungwensis,TC000563
Hill Partridge,Arborophila torqueola,TC000564
Sichuan Partridge,Arborophila rufipectus,TC000565
Chestnut-breasted Partridge,Arborophila mandellii,TC000566
White-necklaced Partridge,Arborophila gingica,TC000567
Rufous-throated Partridge,Arborophila rufogularis,TC000568
White-cheeked Partridge,Arborophila atrogularis,TC000569
Taiwan Partridge,Arborophila crudigularis,TC000570
Hainan Partridge,Arborophila ardens,TC000571
Chestnut-bellied Partridge,Arborophila javanica,TC000572
Gray-breasted Partridge,Arborophila orientalis,TC000573
Bar-backed Partridge,Arborophila brunneopectus,TC000574
Orange-necked Partridge,Arborophila davidi,TC000575
Chestnut-headed Partridge,Arborophila cambodiana,TC000576
Red-breasted Partridge,Arborophila hyperythra,TC000577
Red-billed Partridge,Arborophila rubrirostris,TC000578
Scaly-breasted Partridge,Arborophila chloropus,TC000579
Vietnam Partridge,Arborophila merlini,TC000580
Chestnut-necklaced Partridge,Arborophila charltonii,TC000581
Ferruginous Partridge,Caloperdix oculeus,TC000582
Crimson-headed Partridge,Haematortyx sanguiniceps,TC000583
Crested Partridge,Rollulus rouloul,TC000584
Mountain Bamboo-Partridge,Bambusicola fytchii,TC000586
Chinese Bamboo-Partridge,Bambusicola thoracicus,TC000587
Red Spurfowl,Galloperdix spadicea,TC000588
Painted Spurfowl,Galloperdix lunulata,TC000589
Sri Lanka Spurfowl,Galloperdix bicalcarata,TC000590
Blood Pheasant,Ithaginis cruentus,TC000591
Western Tragopan,Tragopan melanocephalus,TC000592
Satyr Tragopan,Tragopan satyra,TC000593
Blyth's Tragopan,Tragopan blythii,TC000594
Temminck's Tragopan,Tragopan temminckii,TC000595
Cabot's Tragopan,Tragopan caboti,TC000596
Koklass Pheasant,Pucrasia macrolopha,TC000597
Himalayan Monal,Lophophorus impejanus,TC000598
Sclater's Monal,Lophophorus sclateri,TC000599
Chinese Monal,Lophophorus lhuysii,TC000600
Red Junglefowl,Gallus gallus,TC000601
Gray Junglefowl,Gallus sonneratii,TC000602
Sri Lanka Junglefowl,Gallus lafayetii,TC000603
Green Junglefowl,Gallus varius,TC000604
Kalij Pheasant,Lophura leucomelanos,TC000605
Edwards's Pheasant,Lophura edwardsi,TC000607
Swinhoe's Pheasant,Lophura swinhoii,TC000609
Salvadori's Pheasant,Lophura inornata,TC000610
Silver Pheasant,Lophura nycthemera,TC000611
Crestless Fireback,Lophura erythrophthalma,TC000612
Crested Fireback,Lophura ignita,TC000613
Siamese Fireback,Lophura diardi,TC000614
Bulwer's Pheasant,Lophura bulweri,TC000615
White Eared-Pheasant,Crossoptilon crossoptilon,TC000616
Brown Eared-Pheasant,Crossoptilon mantchuricum,TC000617
Blue Eared-Pheasant,Crossoptilon auritum,TC000618
Cheer Pheasant,Catreus wallichii,TC000619
Elliot's Pheasant,Syrmaticus ellioti,TC000620
Hume's Pheasant,Syrmaticus humiae,TC000621
Mikado Pheasant,Syrmaticus mikado,TC000622
Copper Pheasant,Syrmaticus soemmerringii,TC000623
Reeves's Pheasant,Syrmaticus reevesii,TC000624
Ring-necked Pheasant,Phasianus colchicus,TC000625
Golden Pheasant,Chrysolophus pictus,TC000628
Lady Amherst's Pheasant,Chrysolophus amherstiae,TC000629
Bronze-tailed Peacock-Pheasant,Polyplectron chalcurum,TC000630
Mountain Peacock-Pheasant,Polyplectron inopinatum,TC000631
Germain's Peacock-Pheasant,Polyplectron germaini,TC000632
Gray Peacock-Pheasant,Polyplectron bicalcaratum,TC000633
Malayan Peacock-Pheasant,Polyplectron malacense,TC000634
Bornean Peacock-Pheasant,Polyplectron schleiermacheri,TC000635
Palawan Peacock-Pheasant,Polyplectron napoleonis,TC000636
Crested Argus,Rheinardia ocellata,TC000637
Great Argus,Argusianus argus,TC000638
Indian Peafowl,Pavo cristatus,TC000639
Green Peafowl,Pavo muticus,TC000640
Congo Peacock,Afropavo congensis,TC000641
Black-billed Capercaillie,Tetrao parvirostris,TC000642
Eurasian Capercaillie,Tetrao urogallus,TC000643
Black Grouse,Tetrao tetrix,TC000644
Caucasian Grouse,Tetrao mlokosiewiczi,TC000645
Hazel Grouse,Bonasa bonasia,TC000646
Severtzov's Grouse,Bonasa sewerzowi,TC000647
Ruffed Grouse,Bonasa umbellus,TC000648
Greater Sage-Grouse,Centrocercus urophasianus,TC000649
Gunnison Sage-Grouse,Centrocercus minimus,TC000650
Siberian Grouse,Falcipennis falcipennis,TC000664
Spruce Grouse,Falcipennis canadensis,TC000652
Willow Ptarmigan,Lagopus lagopus,TC000655
Rock Ptarmigan,Lagopus muta,TC000658
White-tailed Ptarmigan,Lagopus leucura,TC000659
Dusky Grouse,Dendragapus obscurus,TC000661
Sooty Grouse,Dendragapus fuliginosus,TC000662
Sharp-tailed Grouse,Tympanuchus phasianellus,TC000665
Greater Prairie-Chicken,Tympanuchus cupido,TC000666
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,TC000670
Wild Turkey,Meleagris gallopavo,TC000671
Ocellated Turkey,Meleagris ocellata,TC000672
Red-throated Loon,Gavia stellata,TC000673
Arctic Loon,Gavia arctica,TC000674
Pacific Loon,Gavia pacifica,TC000675
Common Loon,Gavia immer,TC000677
Yellow-billed Loon,Gavia adamsii,TC000678
White-tufted Grebe,Rollandia rolland,TC000681
Titicaca Grebe,Rollandia microptera,TC000682
Alaotra Grebe,Tachybaptus rufolavatus,TC000683
Little Grebe,Tachybaptus ruficollis,TC000684
Australasian Grebe,Tachybaptus novaehollandiae,TC000685
Madagascar Grebe,Tachybaptus pelzelnii,TC000686
Least Grebe,Tachybaptus dominicus,TC000687
Pied-billed Grebe,Podilymbus podiceps,TC000688
Atitlan Grebe,Podilymbus gigas,TC000689
Hoary-headed Grebe,Poliocephalus poliocephalus,TC000690
New Zealand Grebe,Poliocephalus rufopectus,TC000691
Great Grebe,Podiceps major,TC000692
Horned Grebe,Podiceps auritus,TC000693
Red-necked Grebe,Podiceps grisegena,TC000694
Great Crested Grebe,Podiceps cristatus,TC000695
Eared Grebe,Podiceps nigricollis,TC000696
Colombian Grebe,Podiceps andinus,TC000698
Silvery Grebe,Podiceps occipitalis,TC000699
Junin Grebe,Podiceps taczanowskii,TC000702
Hooded Grebe,Podiceps gallardoi,TC000703
Western Grebe,Aechmophorus occidentalis,TC000705
Clark's Grebe,Aechmophorus clarkii,TC000707
American Flamingo,Phoenicopterus ruber,TC000710
Greater Flamingo,Phoenicopterus roseus,TC000711
Chilean Flamingo,Phoenicopterus chilensis,TC000713
Lesser Flamingo,Phoenicopterus minor,TC000714
Andean Flamingo,Phoenicoparrus andinus,TC000715
James's Flamingo,Phoenicoparrus jamesi,TC000716
King Penguin,Aptenodytes patagonicus,TC000718
Emperor Penguin,Aptenodytes forsteri,TC000719
